d,target,EN,Ionic radius,C-rate,Lower cut-off voltage,Upper cut-off voltage,Li,Ni,Co,Mn,O,F,Na,Mg,Al,Cl,K,Ca,Ti,W,Fe,Zn,Zr,Nb,Mo,Ta,Sb,B
Li0.98Na0.02Ni0.6Co0.05Mn0.35O2,185,0.93,0.102,0.1,2.7,4.5,0.98,0.6,0.05,0.35,2,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LiNi0.799Co0.1Mn0.1W0.001O2 ,173,2.36,0.06,0.1,2.8,4.2,1,0.799,0.1,0.1,2,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0
LiNi0.65Co0.15Mn0.20O2,171.03,0,0,0.1,2.7,4.4,1,0.65,0.15,0.2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LiNi0.645Co0.15Mn0.20W0.005O2,207.99,2.36,0.06,0.1,2.7,4.4,1,0.645,0.15,0.2,2,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0
LiNi0.64Co0.15Mn0.20W0.01O2,216.55,2.36,0.06,0.1,2.7,4.4,1,0.64,0.15,0.2,2,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
LiNi0.63Co0.15Mn0.20W0.02O2,189.7,2.36,0.06,0.1,2.7,4.4,1,0.63,0.15,0.2,2,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0
LiNi0.6Co0.05Mn0.35O2?,184,0,0,0.5,3,4.5,1,0.6,0.05,0.35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LiNi0.91Co0.06Mn0.03O2,221.2,0,0,0.1,3,4.5,1,0.91,0.06,0.03,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LiNi0.9Co0.0495Mn0.05Zn0.0005O2,209.7,1.65,0.074,0.5,3,4.3,1,0.9,0.0495,0.05,2,0,0,0,0,0,0,0,0,0,0,0.0005,0,0,0,0,0,0
LiNi0.9Co0.045Mn0.05Zn0.005O2,192.3,1.65,0.074,0.5,3,4.3,1,0.9,0.045,0.05,2,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0
LiNi0.6Co0.2Mn0.18Ti0.02O2,193,1.54,0.0605,0.1,3,4.5,1,0.6,0.2,0.18,2,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0
LiNi0.6Co0.2Mn0.2O2,197,0,0,0.1,3,4.5,1,0.6,0.2,0.2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li(Ni0.6Co0.2Mn0.2)0.999Ta0.001O2,196.9,1.5,0.064,0.2,3,4.5,1,0.599,0.1998,0.1998,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0
Li(Ni0.6Co0.2Mn0.2)0.9975Ta0.0025O2,188.2,1.5,0.064,0.2,3,4.5,1,0.5985,0.1995,0.1995,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0,0
Li(Ni0.6Co0.2Mn0.2)0.995Ta0.005O2,186.5,1.5,0.064,0.2,3,4.5,1,0.597,0.199,0.199,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0
Li(Ni0.83Co0.11Mn0.06)0.99Mo0.01O2,173.1,2.16,0.059,0.1,2.7,4.3,1,0.8217,0.1089,0.0594,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0
(LiNi0.6Co0.2Mn0.2O2)1mol%Sb2,152.3,1.96,0.06,0.1,2.5,4.3,1,0.588,0.196,0.196,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0
Li(Ni0.92Co0.04Mn0.04)0.99Zr0.01O2,225.2,1.33,0.072,0.1,2.5,4.4,1,0.9108,0.0396,0.0396,2,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0
LiNi0.92Co0.04Mn0.04O2,230.1,0,0,0.1,2.5,4.4,1,0.92,0.04,0.04,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LiNi0.85Co0.10Mn0.05O2,203.9,0,0,0.1,2.7,4.3,1,0.85,0.1,0.05,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LiNi0.8Co0.07Fe0.03Mn0.1O2,207.5,1.83,0.0645,0.1,2.8,4.3,1,0.8,0.07,0.1,2,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0
LiNi0.83Co0.11Mn0.06O2,201.8,0,0,0.1,2.8,4.3,1,0.83,0.11,0.06,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li(Ni0.83Co0.11Mn0.06)0.995Nb0.005O2,197.6,1.6,0.064,0.1,2.8,4.3,1,0.8258,0.1095,0.0597,2,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0
Li(Ni0.83Co0.11Mn0.06)0.99Nb0.01O2,194.3,1.6,0.064,0.1,2.8,4.3,1,0.8217,0.1089,0.0594,2,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0
Li(Ni0.83Co0.11Mn0.06)0.985Nb0.015O2,189.9,1.6,0.064,0.1,2.8,4.3,1,0.8175,0.1084,0.0591,2,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0,0,0,0
Li0.97K0.03Ni0.8Co0.1Mn0.1O2,192,0.82,0.138,0.1,2.8,4.3,0.97,0.8,0.1,0.1,2,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0
LiNi0.8Co0.1Mn0.1O2,189.1,0,0,0.1,2.5,4.3,1,0.8,0.1,0.1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li(Ni0.8Co0.1Mn0.1)0.99Mg0.01O2,187.5,1.31,0.072,0.1,2.5,4.3,1,0.792,0.099,0.099,2,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li(Ni0.8Co0.1Mn0.1)0.98Mg0.02O2,180.7,1.31,0.072,0.1,2.5,4.3,1,0.784,0.098,0.098,2,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li(Ni0.8Co0.1Mn0.1)0.97Mg0.03O2,175.5,1.31,0.072,0.1,2.5,4.3,1,0.776,0.097,0.097,2,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li(Ni0.8Co0.1Mn0.1)0.99Ti0.01O2,195.1,1.54,0.0605,0.1,2.5,4.3,1,0.792,0.099,0.099,2,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0
Li(Ni0.8Co0.1Mn0.1)0.98Ti0.02O2,198.1,1.54,0.0605,0.1,2.5,4.3,1,0.784,0.098,0.098,2,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0
LiNi0.9 Co0.05Mn0.05O 2,195.8,0,0,0.1,2.8,4.3,1,0.9,0.05,0.05,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li(Ni0.9 Co0.05Mn0.05 )O1.99F0.01,194.4,3.98,0.133,0.1,2.8,4.3,1,0.9,0.05,0.05,1.99,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li(Ni0.9 Co0.05Mn0.05 )O1.98F0.02,163.2,3.98,0.133,0.1,2.8,4.3,1,0.9,0.05,0.05,1.98,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li(Ni0.9 Co0.05Mn0.05 )O1.96F0.04,158.9,3.98,0.133,0.1,2.8,4.3,1,0.9,0.05,0.05,1.96,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li(Ni0.8Co0.1Mn0.1)0.995Ti0.005O2,210,1.54,0.0605,0.1,2.8,4.3,1,0.796,0.0995,0.0995,2,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0
LiNi0.8Co0.1Mn0.09Mg0.01O2,174.86,1.31,0.072,1,2.8,4.3,1,0.8,0.1,0.09,2,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LiNi0.8Co0.1Mn0.09Al0.01O2,186.13,1.61,0.0535,1,2.8,4.3,1,0.8,0.1,0.09,2,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
Li(Ni0.8Co0.1Mn0.1)0.9975W0.0025O2,205.8,2.36,0.06,0.2,2.8,4.5,1,0.798,0.0997,0.0998,2,0,0,0,0,0,0,0,0,0.0025,0,0,0,0,0,0,0,0
Li(Ni0.8Co0.1Mn0.1)0.995W0.005O2,203.6,2.36,0.06,0.2,2.8,4.5,1,0.796,0.0995,0.0995,2,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0
Li(Ni0.8Co0.1Mn0.1)0.99W0.01O2,199.6,2.36,0.06,0.2,2.8,4.5,1,0.792,0.099,0.099,2,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
Li(Ni0.8Co0.1Mn0.1)0.98W0.02O2,195.7,2.36,0.06,0.2,2.8,4.5,1,0.784,0.098,0.098,2,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0
LiNi0.88Co0.095Mn0.025O2,210.7,0,0,0.2,2.8,4.3,1,0.88,0.095,0.025,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li(Ni0.88Co0.095Mn0.025)0.99Al0.01O2,205.3,1.61,0.0535,0.2,2.8,4.3,1,0.871,0.094,0.0248,2,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
Li(Ni0.88Co0.095Mn0.025)0.98Al0.02O2,203.5,1.61,0.0535,0.2,2.8,4.3,1,0.862,0.0931,0.0245,2,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
Li(Ni0.88Co0.095Mn0.025)0.97Al0.03O2,201.8,1.61,0.0535,0.2,2.8,4.3,1,0.854,0.0921,0.0243,2,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0
Li0.999Na0.001Ni0.8Co0.1Mn0.1O2,183.5,0.93,0.102,0.1,2.8,4.3,0.999,0.8,0.1,0.1,2,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li0.997Na0.003Ni0.8Co0.1Mn0.1O2,189.2,0.93,0.102,0.1,2.8,4.3,0.997,0.8,0.1,0.1,2,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li0.995Na0.005Ni0.8Co0.1Mn0.1O2,180.8,0.93,0.102,0.1,2.8,4.3,0.995,0.8,0.1,0.1,2,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li0.999K0.001Ni0.8Co0.1Mn0.1O2,198.6,0.82,0.138,0.1,2.8,4.3,0.999,0.8,0.1,0.1,2,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0
Li0.997K0.003Ni0.8Co0.1Mn0.1O2,199.8,0.82,0.138,0.1,2.8,4.3,0.997,0.8,0.1,0.1,2,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0
Li0.998K0.005Ni0.8Co0.1Mn0.1O2,192.5,0.82,0.138,0.1,2.8,4.3,0.995,0.8,0.1,0.1,2,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0
LiNi0.8Co0.1Mn0.1O1.999F0.001,198.6,3.98,0.133,0.1,2.8,4.3,1,0.8,0.1,0.1,1.999,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LiNi0.8Co0.1Mn0.1O1.997F0.003,219.6,3.98,0.133,0.1,2.8,4.3,1,0.8,0.1,0.1,1.997,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LiNi0.8Co0.1Mn0.1O1.995F0.005,188.5,3.98,0.133,0.1,2.8,4.3,1,0.8,0.1,0.1,1.995,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LiNi0.8Co0.1Mn0.1O1.999Cl0.001,203.7,3.16,0.181,0.1,2.8,4.3,1,0.8,0.1,0.1,1.999,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0
LiNi0.8Co0.1Mn0.1O1.997Cl0.003,204.6,3.16,0.181,0.1,2.8,4.3,1,0.8,0.1,0.1,1.997,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0
LiNi0.8Co0.1Mn0.1O1.995Cl0.005,211.2,3.16,0.181,0.1,2.8,4.3,1,0.8,0.1,0.1,1.995,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0
Li(Ni0.8Co0.1Mn0.1£©0.97Ti0.03O2,196,1.54,0.0605,0.5,2.8,4.6,1,0.776,0.097,0.097,2,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0
LiNi0.83Co0.12Mn0.05O2,215.5,0,0,0.1,2.8,4.5,1,0.83,0.12,0.05,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li(Ni0.83Co0.12Mn0.05)0.9928Zr0.0072O2,188.3,1.33,0.072,1,2.8,4.5,1,0.824,0.1191,0.0497,2,0,0,0,0,0,0,0,0,0,0,0,0.0072,0,0,0,0,0
Li(Ni0.83Co0.12Mn0.05)0.9904Zr0.0096O2,210,1.33,0.072,0.1,2.8,4.5,1,0.822,0.1188,0.0495,2,0,0,0,0,0,0,0,0,0,0,0,0.0096,0,0,0,0,0
Li(Ni0.83Co0.12Mn0.05)0.988Zr0.012O2,196.2,1.33,0.072,1,2.8,4.5,1,0.8283,0.1186,0.0494,2,0,0,0,0,0,0,0,0,0,0,0,0.012,0,0,0,0,0
LiNi0.8Co0.1Mn0.09Al0.01O2,176.8,1.61,0.0535,0.1,2.7,4.3,1,0.8,0.1,0.09,2,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
Li(Ni0.8Co0.1Mn0.1)0.995Nb0.005O2,205.6,1.6,0.064,0.05,2.7,4.3,1,0.796,0.0995,0.0995,2,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0
Li(Ni0.8Co0.1Mn0.1)0.99Nb0.01O2,226.3,1.6,0.064,0.05,2.7,4.3,1,0.792,0.099,0.099,2,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0
Li(Ni0.8Co0.1Mn0.1)0.99Nb0.02O2,202.2,1.6,0.064,0.05,2.7,4.3,1,0.784,0.098,0.098,2,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0
Li(Ni0.8Co0.1Mn0.1)0.99Nb0.03O2,196.3,1.6,0.064,0.05,2.7,4.3,1,0.776,0.097,0.097,2,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0
Li(Ni0.8Co0.1Mn0.1)0.995B0.005O2,194.2,2.04,0.027,0.1,2.8,4.3,1,0.796,0.0995,0.0995,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005
Li(Ni0.8Co0.1Mn0.1)0.99B0.01O2,194.7,2.04,0.027,0.1,2.8,4.3,1,0.792,0.099,0.099,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01
Li(Ni0.8Co0.1Mn0.1)0.98B0.02O2,167.6,2.04,0.027,0.1,2.8,4.3,1,0.784,0.098,0.098,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02
Li(Ni0.8Co0.1Mn0.1)0.95Ti0.05O2,182.3,1.54,0.0605,0.1,2.8,4.5,1,0.76,0.095,0.095,2,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0
Li(Ni0.8Co0.1Mn0.1)0.985Zr0.015O2 ,200.3,1.33,0.072,0.1,2.8,3.4,1,0.788,0.0985,0.0985,2,0,0,0,0,0,0,0,0,0,0,0,0.015,0,0,0,0,0
LiNi0.8Co0.1Mn0.09Zr0.01O2,201,1.33,0.072,0.1,2.8,4.3,1,0.8,0.1,0.09,2,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0
Li0.97Na0.03Ni0.5Co0.2Mn0.3O2,228.43,0.93,0.102,0.2,3,4.6,0.97,0.5,0.2,0.3,2,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LiNi0.6Co0.2Mn0.2O1.98F0.02,163.5,3.98,0.133,0.1,2.8,4.3,1,0.6,0.2,0.2,1.98,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LiNi0.6Co0.2Mn0.2O1.96F0.04,159.8,3.98,0.133,0.1,2.8,4.3,1,0.6,0.2,0.2,1.96,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LiNi0.6Co0.2Mn0.2O1.94F0.06,156.8,3.98,0.133,0.1,2.8,4.3,1,0.6,0.2,0.2,1.94,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li(Ni0.6Co0.2Mn0.2)0.998Al0.002O2,180.2,1.61,0.0535,0.05,3,4.3,1,0.5988,0.1996,0.1996,2,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0
Li(Ni0.6Co0.2Mn0.2)0.99Al0.01O2,175.7,1.61,0.0535,0.05,3,4.3,1,0.594,0.198,0.198,2,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
Li(Ni0.6Co0.2Mn0.2)0.95Al0.05O2,141.6,1.61,0.0535,0.05,3,4.3,1,0.57,0.19,0.19,2,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0
Li0.99Na0.01Ni0.6Co0.2Mn0.2O2,183,0.93,0.102,0.1,2.8,4.3,0.99,0.6,0.2,0.2,2,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li0.97Na0.03Ni0.6Co0.2Mn0.2O2,184,0.93,0.102,0.1,2.8,4.3,0.97,0.6,0.2,0.2,2,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LiNi0.6Co0.25Mn0.15O2,199,0,0,0.1,3,4.5,1,0.6,0.25,0.15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LiNi0.57Mg0.03Co0.25Mn0.15O2,184,1.31,0.072,0.1,3,4.5,1,0.57,0.25,0.15,2,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li(Ni0.8Co0.1Mn0.1)0.97Mg0.03O2,184.9,1.31,0.072,0.1,2.8,4.3,1,0.776,0.097,0.097,2,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li(Ni0.8Co0.1Mn0.1)0.97Ca0.03O2,184.7,1,0.099,0.1,2.8,4.3,1,0.776,0.097,0.097,2,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0
Li[Ni0.90Co0.05Mn0.05]0.996B0.004O2,227.3,2.04,0.027,0.1,2.7,4.3,1,0.8964,0.0498,0.0498,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004
Li[Ni0.90Co0.05Mn0.05]0.99B0.01O2,229.6,2.04,0.027,0.1,2.7,4.3,1,0.891,0.0495,0.0495,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01
